"","code_com","popnum"
"559","586",3333
"560","189",5559
"561","077",2009
"562","115",35
"563","002",3018
"564","276",1242
"565","194",5382
"566","183",955
"567","190",4439
"568","003",2108
"569","066",3969
"570","125",428
"571","253",4639
"572","081",5440
"573","063",3984
"574","046",110
"575","115",245
"576","051",819
"577","029",4805
"578","287",3207
"579","532",5438
"580","144",5455
"581","325",5367
"582","097",5563
"583","139",4299
"584","079",4869
"585","225",1017
"586","176",4233
"587","146",537
"588","071",4383
"589","103",2470
"590","429",2777
"591","179",4603
"592","203",927
"593","174",4744
"594","751",705
"595","381",5438
"596","164",5189
"597","196",710
"598","200",5182
"599","284",4235
"600","252",3258
"601","195",3802
"602","067",1611
"603","222",2547
"604","146",482
"605","307",609
"606","250",1802
"607","378",2469
"608","227",3334
"609","404",264
"610","470",2826
"611","809",567
"612","016",2816
"613","223",1038
"614","065",3203
"615","360",4403
"616","234",2469
"617","028",4414
"618","765",5362
"619","115",3131
"620","020",1430
"621","258",2787
"622","145",3766
"623","022",803
"624","026",5336
"625","135",883
"626","325",1593
"627","340",4517
"628","468",3898
"629","454",3218
"630","418",973
"631","062",5060
"632","626",2032
"633","059",449
"634","580",2188
"635","326",1942
"636","234",2830
"637","319",4273
"638","266",3742
"639","089",617
"640","132",187
"641","009",102
"642","043",1892
"643","005",2879
"644","370",4721
"645","174",25
"646","405",5593
"647","279",402
"648","122",4162
"649","235",565
"650","008",3279
"651","186",988
"652","237",3131
"653","023",173
"654","391",2448
"655","324",209
"656","210",118
"657","172",5676
"658","279",5389
"659","039",1298
"660","414",2542
"661","124",665
"662","151",1285
"663","100",5086
"664","159",295
"665","241",2542
"666","128",4662
"667","031",5568
"668","211",3409
"669","303",4162
"670","100",3319
"671","195",88
"672","001",4222
"673","231",2282
"674","115",5581
"675","123",916
"676","256",3928
"677","364",3014
"678","081",2963
"679","729",5079
"680","137",4599
"681","163",2164
"682","446",173
"683","485",5551
"684","101",5271
"685","180",1749
"686","497",3754
"687","647",4961
"688","482",4105
"689","278",1341
"690","468",25
"691","120",1148
"692","063",5012
"693","150",1489
"694","185",1236
"695","388",4282
"696","093",3162
"697","373",1340
"698","017",448
"699","092",5114
"700","369",4680
"701","517",3382
"702","494",3786
"703","173",5508
"704","349",4058
"705","258",444
"706","028",4344
"707","272",1847
"708","454",1681
"709","216",3366
"710","120",3093
"711","600",449
"712","215",1696
"713","542",43
"714","200",4599
"715","445",1837
"716","147",465
"717","148",4008
"718","544",1791
"719","159",5409
"720","549",2303
"721","243",1094
"722","251",1285
"723","423",448
"724","311",2972
"725","213",1887
"726","528",3279
"727","442",70
"728","520",4110
"729","271",5438
"730","030",4916
"731","468",3611
"732","445",2234
"733","743",3628
"734","013",1603
"735","300",5492
"736","387",3466
"737","204",4588
"738","669",4173
"739","303",1696
"740","282",3543
"741","005",4665
"742","231",4706
"743","382",2871
"744","406",110
"745","331",5580
"746","187",284
"747","184",5255
"748","201",4308
"749","407",386
"750","143",1691
"751","654",5047
"752","269",3131
"753","254",1272
"754","056",5323
"755","248",4983
"756","279",3186
"757","387",1199
"758","336",3204
"759","083",1246
"760","327",3699
"761","484",3150
"762","089",4247
"763","075",152
"764","403",3581
"765","006",2366
"766","539",4151
"767","085",3617
"768","321",868
"769","204",2952
"770","070",3230
"771","239",424
"772","015",4166
"773","025",3218
"774","116",694
"775","302",3969
"776","043",4976
"777","170",4465
"778","505",4916
"779","149",3679
"780","104",780
"781","044",5118
"782","249",1581
"783","070",1932
"784","797",548
"785","155",5271
"786","050",1500
"787","187",115
"788","307",2643
"789","022",1434
"790","180",4022
"791","291",5403
"792","567",4330
"793","355",5578
"794","319",1110
"795","538",617
"796","285",5237
"797","173",2167
"798","469",3609
"799","455",2337
"800","504",2263
"801","250",2605
"802","186",844
"803","360",2748
"804","302",3933
"805","685",4755
"806","199",3876
"807","534",3490
"808","428",149
"809","150",2537
"810","221",2542
"811","261",1228
"812","181",1461
"813","553",2588
"814","142",4569
"815","119",434
"816","160",3678
"817","027",335
"818","298",5459
"819","308",585
"820","067",3611
"821","165",5564
"822","260",3334
"823","546",173
"824","144",819
"825","031",3385
"826","133",4300
"827","217",4962
"828","141",3940
"829","163",1420
"830","326",88
"831","425",2678
"832","343",4692
"833","419",226
"834","479",2167
"835","118",973
"836","010",467
"837","043",4261
"838","595",188
"839","182",1127
"840","013",2895
"841","045",3641
"842","154",1418
"843","069",1096
"844","297",3401
"845","370",4838
"846","052",1593
"847","229",1078
"848","252",4794
"849","292",5086
"850","178",5269
"851","505",785
"852","334",5419
"853","104",3546
"854","113",3922
"855","112",4840
"856","115",699
"857","339",1824
"858","409",2210
"859","150",2208
"860","086",5483
"861","161",3278
"862","247",4468
"863","317",3765
"864","022",1942
"865","062",2576
"866","434",4196
"867","188",2528
"868","148",3170
"869","204",3203
"870","065",4546
"871","130",2326
"872","436",2108
"873","072",4912
"874","710",5121
"875","546",1339
"876","285",4956
"877","496",245
"878","251",2358
"879","145",2196
"880","036",180
"881","114",3830
"882","338",941
"883","243",2556
"884","118",4874
"885","451",237
"886","070",5055
"887","081",4613
"888","314",3348
"889","652",4939
"890","007",2937
"891","102",3116
"892","219",785
"893","135",3857
"894","034",2101
"895","342",5454
"896","705",1049
"897","117",4439
"898","104",3055
"899","168",4752
"900","421",465
"901","310",2459
"902","114",1434
"903","053",1793
"904","127",2148
"905","119",2404
"906","273",4051
"907","263",3353
"908","101",3786
"909","468",1881
"910","361",4837
"911","164",3605
"912","492",2902
"913","138",1017
"914","013",3315
"915","485",1554
"916","120",4514
"917","144",3780
"918","028",599
"919","025",2688
"920","323",2034
"921","061",3186
"922","277",474
"923","170",2931
"924","443",4426
"925","130",4579
"926","505",5099
"927","192",2963
"928","142",5379
"929","009",1340
"930","267",4170
"931","581",5393
"932","227",2316
"933","301",750
"934","014",2047
"935","141",4736
"936","216",1657
"937","496",483
"938","105",2048
"939","233",299
"940","391",2089
"941","465",1907
"942","290",2047
"943","197",3039
"944","069",402
"945","423",137
"946","199",2089
"947","156",1241
"948","052",3014
"949","445",2030
"950","147",5648
"951","072",2234
"952","098",576
"953","434",4017
"954","269",5374
"955","517",2996
"956","478",3520
"957","092",3170
"958","201",1187
"959","694",482
"960","162",3272
"961","183",2108
"962","011",449
"963","146",129
"964","534",979
"965","234",4450
"966","179",2662
"967","128",1696
"968","038",4024
"969","292",4983
"970","153",5473
"971","059",1278
"972","017",2366
"973","069",1054
"974","301",137
