"","cod_dept","area","pop"
"512","91","179","4220"
"513","76","318","10309"
"514","73","546","777"
"515","55","1348","309"
"516","76","1093","321"
"517","44","1207","2178"
"518","43","1632","87"
"519","51","335","177"
"520","81","1231","465"
"521","54","524","155"
"522","85","1896","558"
"523","08","743","62"
"524","76","718","134"
"525","2B","827","205"
"526","14","3134","1070"
"527","77","931","361"
"528","57","272","549"
"529","33","753","210"
"530","61","2252","355"
"531","10","1779","450"
"532","80","684","212"
"533","45","2425","1397"
"534","87","2960","2068"
"535","31","642","2831"
"536","67","428","203"
"537","15","1356","122"
"538","01","616","144"
"539","63","1471","683"
"540","81","2015","144"
"541","54","445","96"
"542","31","907","419"
"543","07","443","240"
"544","51","1606","130"
"545","67","1225","312"
"546","70","290","123"
"547","06","2003","13092"
"548","01","938","2927"
"549","14","814","427"
"550","25","421","211"
"551","39","1034","90"
"552","25","445","128"
"553","76","267","182"
"554","72","3394","430"
"555","60","1331","1186"
"556","89","647","627"
"557","59","1157","15825"
"558","08","3926","172"
"559","39","479","38"
"560","36","4408","951"
"561","44","5523","2326"
"562","43","2504","1015"
"563","66","572","3358"
"564","46","1338","173"
"565","86","4242","87427"
"566","71","829","154"
"567","02","564","583"
"568","19","985","242"
"569","26","1165","48"
"570","26","1893","1216"
"571","40","2047","633"
"572","94","1166","90075"
"573","76","1530","483"
"574","71","1387","105"
"575","04","3301","112"
"576","71","367","145"
"577","11","1458","68"
"578","40","10043","3605"
"579","88","455","90"
"580","89","2390","907"
"581","33","1501","869"
"582","47","2394","952"
"583","66","674","55"
"584","42","559","701"
"585","55","539","158"
"586","09","2655","537"
"587","74","797","1282"
"588","88","494","57"
"589","28","2010","2762"
"590","62","558","309"
"591","08","1966","624"
"592","70","629","152"
"593","85","1590","662"
"594","76","1026","1387"
"595","39","839","90"
"596","19","6668","803"
"597","55","677","139"
"598","26","1476","80"
"599","77","1523","53766"
"600","79","2040","368"
"601","52","506","45"
"602","09","720","200"
"603","17","1205","2844"
"604","05","5921","125"
"605","76","732","1325"
"606","85","2390","2150"
"607","91","313","276"
"608","03","3354","380"
"609","25","666","113"
"610","39","3800","3137"
"611","62","250","130"
"612","19","2083","313"
"613","28","454","1592"
"614","89","726","36"
"615","26","1243","575"
"616","30","644","276"
